Use,Species,species.alt,Species.no.ssp,code,new.code,accept.code,family,group,nat.inv,Heteromorphic,Heteromorphic.ref,Heteromorphic.Notes,Fruit Type,germinule.equal.dispersule.,germ.disp.notes,germ.disp.ref,dormancy.type,dorm.notes
y,Bromus tectorum,,Bromus tectorum,BROTEC,BROTEC,BRTE,Poaceae,grass,invasive,n,SEINet,"Fruit - caryopsis, Caryopsis ellipsoid, longitudinally grooved, hilum long-linear, Caryopsis hairy at apex.",caryopsis,n,,,PD,
y,Cynosurus echinatus,,Cynosurus echinatus,CYNECH,CYNECH,,Poaceae,grass,invasive,n,Jepson eflora,"Fertile Spikelet: glume 6--12 mm, awned; florets 1--5. Sterile Spikelet: glume keeled, ciliate, long-pointed; florets 6--18; lemma awn < 8 mm.",caryopsis,,,,,
y,Deschampsia danthonioides,,Deschampsia danthonioides,DESDAN,DESDAN,DEDA,Poaceae,grass,native,n,Jepson eflora,"Spikelet: glume and lemma tips sometimes +- purple; glumes 4--9 mm, equal, lanceolate, acute to acuminate, 3-veined; florets generally 2; callus hairs < 1/2 lemma length; lemma 2--3 mm, generally 2--3-toothed at tip, faintly 1--3-veined, awned below middle, awn 4--9 mm, generally bent at mid-length.",caryopsis,,,,PD/ND,genus
y,Elymus caput-medusae,Taeniatherum caput-medusae,Elymus caput-medusae,ELYCAP,ELYCAP,TACA8,Poaceae,grass,invasive,n,Jepson eflora,"Spikelet: glumes 2, equal, 5--80 mm, awl- to awn-like, erect to spreading or reflexed, stiff, fused at base, generally glabrous; axis breaking above glumes; florets (3), lower fertile, upper vestigial on prolonged axis; fertile lemma lanceolate 5--8 mm, 5-veined, awn (20)30--100+ mm, flat, straight to outwardly curved, palea = lemma; reduced florets with 3-veined lemmas, palea 0; anthers < 2 mm.",caryopsis,n,,,PD,genus
y,Festuca microstachys,Vulpia microstachys,Festuca microstachys,FESMIC,FESMIC,VUMIM,Poaceae,grass,native,n,Jepson eflora,Fruit: +- 4--6 mm,caryopsis,n,,,PD,genus
y,Festuca myuros,Vulpia myuros,Festuca myuros,FESMYU,FESMYU,VUMY,Poaceae,grass,invasive,n,Jepson eflora,Fruit: 3.5--4.5 mm.,caryopsis,n,,,PD,
y,Festuca octoflora,Vulpia octoflora,Festuca octoflora,FESOCT,FESOCT,VUOCO,Poaceae,grass,native,n,Jepson eflora,Fruit: 2--3.5 mm.,caryopsis,n,,,PD,genus
y,Festuca perennis,Lolium multiflorum,Festuca perennis,FESPER,FESPER,LOPEM2,Poaceae,grass,invasive,n,Jepson eflora,"Spikelet: 5--22 mm; glume < rest of spikelet, 3.5--15 mm, lance-linear; lemma 3.5--9 mm, +- lanceolate, firmly membranous, awn 0--8 mm.",caryopsis,n,,,PD,
y,Gastridium ventricosum,Gastridium phleoides,Gastridium ventricosum,GASVEN,GASVEN,GAPH2,Poaceae,grass,invasive,n,Jepson eflora,"Spikelet: glumes translucent between veins, keel minutely scabrous, lower glume 6--7 mm, upper 3--5 mm; axis extended < 1 mm; lemma +- 1 mm, densely pubescent, awned below truncate, toothed tip, awn 3--6 mm, straight to curved.",caryopsis,n,awns attached,,,
y,Hordeum intercedens,,Hordeum intercedens,HORINT,HORINT,HOIN2,Poaceae,grass,native,n,Jepson eflora,"Central Spikelet: glumes 9--17 mm, generally straight with age, base flat; floret 4.5--7.5 mm; lemma awn 5.5--10 mm, generally slightly spreading with age. Lateral Spikelet: generally sterile; glumes < 18 mm, base flat; lemma 1.7--4.4 mm, tip obtuse to acute, awn generally 0 or < 1.2 mm.",caryopsis,n,,,PD/ND,genus
y,Hordeum murinum,,Hordeum murinum,HORMUR,HORMUR,HOMU,Poaceae,grass,invasive,n,Jepson eflora,"Central Spikelet: glumes 11--25 mm, margins generally ciliate, base flat; lemma 8--14 mm, awn 20--40 mm.Lateral Spikelet: staminate; glumes 11--35 cm, margins ciliate, base flat; lemma 8--15 mm, awn 20--50 mm.",caryopsis,n,,,PD,
y,Muhlenbergia microsperma,,Muhlenbergia microsperma,MUHMIC,MUHMIC,MUMI,Poaceae,grass,native,y,https://bioone.org/journals/madro%c3%b1o/volume-62/issue-1/0024-9637-62.1.21/Delayed-Seed-Dispersal-In-California-Deserts/10.3120/0024-9637-62.1.21.full,"bears cleistogamous spikelets in the lower leaf axils yielding caryopses that eventually germinate in situ within their protective sheaths, and chasmogamous spikelets with smaller unprotected caryopses that are immediately dispersed. This species grows in crevices, rocky habitats, and rockygravelly soils, and is distributed in the Mojave, Colorado, and Sonoran deserts (Felger 2000; Baldwin et al. 2002). A similar case of fruit dimorphism is also found in Muhlenbergia microsperma Trin. (Poaceae), a clumped annual to short-lived perennial grass that grows among rocks, along arroyos, and also on sand flats and playas in the Great Basin, Mojave and Sonoran deserts, and is also found in coastal sage scrub of southern California (Chase 1918; Felger 2000). Although amphicarpic grasses can be found in the Mojave and Sonoran deserts, reproductive dimorphism in the Poaceae also occurs frequently outside arid ecosystems (Campbell et al. 1983).",caryopsis,,,,PD,genus
y,Panicum hirticaule var. hirticaule,,Panicum hirticaule var. hirticaule,PANHIRH,PANHIR,PAHIH,Poaceae,grass,native,n,SEINet,"Caryopsis ellipsoid, longitudinally grooved, hilum long-linear",caryopsis,,,,PD,genus
n,Poa secunda,,Poa secunda,POASEC,POASEC,,Poaceae,grass,native,n,Jepson eflora,fertile anthers 0.2--4.5 mm; ovary glabrous; fruit firm.,caryopsis,,,,PD/ND,genus
y,Polypogon monspeliensis,,Polypogon monspeliensis,POLMON,POLMON,POMO5,Poaceae,grass,invasive,n,http://w3.biosci.utexas.edu/prc/K12/pages/Polypogon%20monspeliensis.html,"Fruit achene (caryopsis), obovoid to ellipsoid, 0.9 × 0.35—0.4 mm, orangey brown (reddish), glabrous, with shriveled remnants of stigmas persisting at tip, obscurely wrinkled but lacking irregular longitudinal ridges.",caryopsis,n,,,PD,
y,Schismus barbatus,,Schismus barbatus,SCHBAR,SCHBAR,SCBA,Poaceae,grass,invasive,n,SEINet,Caryopses 0.6-0.8 mm.,caryopsis,y,,,PD,
y,Stipa capensis,,Stipa capensis,STICAP,STICAP,ACCA34,Poaceae,grass,invasive,n,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60458043-2,Caryopsis with adherent pericarp; fusiform. Hilum linear.,caryopsis,n,long awn,,PD,
y,Aliciella latifolia ssp. latifolia,Gilia latifolia ssp. Latifolia,Aliciella latifolia,ALILATL,ALILAT,ALLAL3,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: 5--7 mm, >= calyx, ovoid. Seed: many, deep red-brown.",capsule,y,"Fruits are capsules with 3-compartments, each having many reddish-brown seeds.",,PD,genus
y,Eriastrum diffusum,,Eriastrum diffusum,ERIDIF,ERIDIF,ERDI2,Polemoniaceae,forb,native,n,Jepson eflora,Seed: 1--several per chamber.,capsule,,,,PD,
y,Eriastrum eremicum,,Eriastrum eremicum,ERIERE,ERIERE,ERER2,Polemoniaceae,forb,native,n,Jepson eflora,Seed: 1--several per chamber.,capsule,,,,PD,genus
y,Eriastrum sapphirinum,,Eriastrum sapphirinum,ERISAP,ERISAP,ERSA,Polemoniaceae,forb,native,n,Jepson eflora,Seed: 1--several per chamber.,capsule,,,,PD,genus
y,Gilia angelensis,,Gilia angelensis,GILANG,GILANG,GIAN,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: 4--5 mm, < calyx, ovoid. Seed: 18--30, 0.8--1.4 mm, 0.5--0.8 mm wide, ovoid, reniform, or angular, light brown.",capsule,,,,PD,genus
y,Gilia capitata,,Gilia capitata,GILCAP,GILCAP,GICA5,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: spheric, ovoid, or obovoid. Seed: 1--25.",capsule,,,,PD,
y,Gilia latiflora ssp. davyi,,Gilia latiflora ssp. davyi,GILLATD,GILLAT,GILAD,Polemoniaceae,forb,native,n,Jepson eflora,Fruit: 6--9 mm.,capsule,,,,PD,genus
y,Gilia tricolor,,Gilia tricolor,GILTRI,GILTRI,GITR2,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: 3--6 mm, <= calyx, ovoid. Seed: 9--36.",capsule,,,,PD,genus
y,Langloisia setosissima ssp. punctata,,Langloisia setosissima ssp. punctata,LANSETP,LANSET,LASEP,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: lance-oblong, triangular in ×-section; outer wall of valve flat. Seed: gelatinous when wet.",capsule,,,,,
n,Leptosiphon bicolor,Linanthus bicolor,Leptosiphon bicolor,LEPBIC,LEPBIC,LEBI8,Polemoniaceae,forb,native,n,Jepson eflora,"Family: Polemoniaceae: Fruit: capsule. Seed: 1--many, when wetted swelling or not, gelatinous or not.",capsule,y,,,,
y,Leptosiphon montanus,,Leptosiphon montanus,LEPMON,LEPMON,LEMO19,Polemoniaceae,forb,native,n,Jepson eflora,"Family: Polemoniaceae: Fruit: capsule. Seed: 1--many, when wetted swelling or not, gelatinous or not.",capsule,y,,,,
y,Linanthus bigelovii,,Linanthus bigelovii,LINBIG,LINBIG,LIBI2,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: < calyx, cylindric. Seed: 9--28, swelling, +- gelatinous when wet.",capsule,,,,,
y,Linanthus dichotomus,,Linanthus dichotomus,LINDIC,LINDIC,LIDI2,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: < calyx, ellipsoid to cylindric. Seed: 15--28, not gelatinous when wet",capsule,,,,,
y,Loeseliastrum matthewsii,,Loeseliastrum matthewsii,LOEMAT,LOEMAT,LOMA10,Polemoniaceae,forb,native,n,Jepson eflora,"Fruit: 2--5 mm, ovoid, 3-lobed in ×-section; outer wall of valve rounded or indented between walls separating chambers. Seed: gelatinous when wet.",capsule,,,,,
y,Microsteris gracilis,Phlox gracilis,Microsteris gracilis,MICGRA,MICGRA,MIGR,Polemoniaceae,forb,native,n,Jepson eflora,Seed: gelatinous when wet. ,capsule,,,,PD,
y,Navarretia atractyloides,,Navarretia atractyloides,NAVATR,NAVATR,NAAT,Polemoniaceae,forb,native,n,https://www.jstor.org/stable/pdf/41423515.pdf?casa_token=QRimF2thdMkAAAAA:LbzQJk_e0M3Q4Mn0wL8hHpchD6rRCbVh6x7xVvjiFj_pPZeNsI4a2TUxkiYFQmz-kKsZIpjGqjiIwIxapHiZgmYlZU2sWYjje1rru_Af188Xgn7hor61 Jepson eflora &SEINet,"Six species, N. hamata , N. atra-
 ctyloides , N. viscidula , N. breweri, N. prolifera and N. divaricata , possess
 3 -celled, coriaceous capsules that separate into discrete vales from the base upwards, and release three to five seeds per locule. *Info on genus: CAPSULE: ovoid to ellipsoid, dehiscent to indehiscent; seeds 1-7 per locule, gelatinous when wet.",capsule,y,,,PD,genus
y,Navarretia hamata,,Navarretia hamata,NAVHAM,NAVHAM,NAHA2,Polemoniaceae,forb,native,n,https://www.jstor.org/stable/pdf/41423515.pdf?casa_token=QRimF2thdMkAAAAA:LbzQJk_e0M3Q4Mn0wL8hHpchD6rRCbVh6x7xVvjiFj_pPZeNsI4a2TUxkiYFQmz-kKsZIpjGqjiIwIxapHiZgmYlZU2sWYjje1rru_Af188Xgn7hor61 Jepson eflora & SEINet,"Six species, N. hamata , N. atra-
 ctyloides , N. viscidula , N. breweri, N. prolifera and N. divaricata , possess
 3 -celled, coriaceous capsules that separate into discrete vales from the base upwards, and release three to five seeds per locule. *info on genus: CAPSULE: ovoid to ellipsoid, dehiscent to indehiscent; seeds 1-7 per locule, gelatinous when wet.",capsule,y,,,PD,genus
n,Navarretia jepsonii,,Navarretia jepsonii,NAVJEP,NAVJEP,NAJE,Polemoniaceae,forb,native,n,https://www.jstor.org/stable/pdf/41423515.pdf?casa_token=QRimF2thdMkAAAAA:LbzQJk_e0M3Q4Mn0wL8hHpchD6rRCbVh6x7xVvjiFj_pPZeNsI4a2TUxkiYFQmz-kKsZIpjGqjiIwIxapHiZgmYlZU2sWYjje1rru_Af188Xgn7hor61 Jepson eflora & SEINet," Six species, N. pubescens, N. mitracarpa , N. jepsonii ; N. heterandra , N. erto - cephala and N. cotulaefolia, are modified in another direction. The cap- sules disintegrate about the base, leaving a chartaceous ""cap"" enveloping the seeds. All are unilocular, 1-seeded, except for N. pubescens , which may also be 2 -seeded and represent culmination in reduction of number of locules and number of seeds  *Info on genus: Seed: 1--many per fruit, brown, gelatinous when wet. Species Fruit: chamber 1; valves 8, dehiscing in lower 1/2.",capsule,y,,,PD,genus
y,Navarretia pubescens,,Navarretia pubescens,NAVPUB,NAVPUB,NAPU2,Polemoniaceae,forb,native,n,https://www.jstor.org/stable/pdf/41423515.pdf?casa_token=QRimF2thdMkAAAAA:LbzQJk_e0M3Q4Mn0wL8hHpchD6rRCbVh6x7xVvjiFj_pPZeNsI4a2TUxkiYFQmz-kKsZIpjGqjiIwIxapHiZgmYlZU2sWYjje1rru_Af188Xgn7hor61 Jepson eflora & SEINet,"Navarretia pubescens , a member of this group, matures 1- and 2 -seeded capsules within the same flowering head, but those with one seed are in the majority *Info on genus: Seed: 1--many per fruit, brown, gelatinous when wet.  Species Fruit: chamber 1; valves 4, dehiscing in lower 1/2.",capsule,y,,,PD,genus
y,Chorizanthe brevicornu,,Chorizanthe brevicornu,CHOBRE,CHOBRE,CHBR,Polygonaceae,forb,native,n,SEINet,"Fruits: Achenes slightly curved, slightly exserted.",achene,n,,,,
y,Chorizanthe brevicornu var. brevicornu,,Chorizanthe brevicornu,CHOBREB,CHOBRE,CHBRB,Polygonaceae,forb,native,n,,no info found in Jepson or SEINet.,achene,n,,,,
y,Chorizanthe fimbriata,,Chorizanthe fimbriata,CHOFIM,CHOFIM,CHFI2,Polygonaceae,forb,native,n,Jepson eflora and SEINet,"Fruit: 3--4 mm. (Jepson) Achenes brown, lenticular, 3-4 mm. (SEINet)",achene,n,,,,
y,Chorizanthe staticoides,,Chorizanthe staticoides,CHOSTA,CHOSTA,CHST4,Polygonaceae,forb,native,n,Jepson eflora and SEINet,"Fruit: 3--4 mm. (Jepson) Achenes brown, lenticular, 3-4 mm. (SEINet)",achene,n,,,,
y,Eriogonum gracillimum,,Eriogonum gracillimum,ERIGRA,ERIGRA,,Polygonaceae,forb,native,n,Jepson eflora,"Fruit: 1--1.2(1.5) mm, glabrous",achene,,,,PD,genus
y,Eriogonum parishii,,Eriogonum parishii,ERIPAR,ERIPAR,ERPA6,Polygonaceae,forb,native,n,Jepson eflora,"Fruit: 1--1.3 mm, glabrous.",achene,,,,PD,genus
y,Eriogonum pharnaceoides,,Eriogonum pharnaceoides,ERIPHA,ERIPHA,ERPH2,Polygonaceae,forb,native,n,SEINet,"Achenes: brown to blackish, lenticular, 1.8-2 mm, glabrous.",achene,,,,PD,genus
y,Oxytheca perfoliata,,Oxytheca perfoliata,OXYPER,OXYPER,OXPE2,Polygonaceae,forb,native,n,SEINet,"Achenes dark brown to maroon, 1.5-2 mm.",achene,,,,,
y,Pterostegia drymarioides,,Pterostegia drymarioides,PTEDRY,PTEDRY,PTDR,Polygonaceae,forb,native,n,SEINet & Jepson eflora ,"Achenes 1.2-1.5 mm. Fruit: 1.2--1.5 mm, obconic, winged, glabrous, generally brown; embryo straight.",achene,,,,,
y,Anagallis arvensis,Lysimachia arvensis,Anagallis arvensis,ANAARV,ANAARV,ANAR,Primulaceae,forb,invasive,n,SEINet,Fruits: Circumsessile capsule (opening at the top like a lid) 4-6 mm long. Seeds 12-45.,capsule,y,,,PD,
n,Galium aparine,,Galium aparine,GALAPA,GALAPA,GAAP2,Rubiaceae,forb,native,n,Jepson eflora,"Fruit: nutlets; hairs many, short, hooked.",nutlet,y,,,PD,
y,Galium murale,,Galium murale,GALMUR,GALMUR,GAMU4,Rubiaceae,forb,invasive,n,Jepson eflora,"Fruit: nutlets, sausage-shaped, length 3--4 × width; hairs uneven-scattered, hooked, nutlet tips long-densely hairy.",nutlet,y,,,PD,genus
y,Physalis crassifolia,,Physalis crassifolia,PHYCRA,PHYCRA,PHCR4,Solanaceae,forb,native,n,SEINet,"*info on genus: Seed: many, 2--2.5 mm, +- spheric to reniform. Species Fruits: Greenish berry. ",berry,,,,PD/ND,genus
y,Hesperocnide tenella,,Hesperocnide tenella,HESTEN,HESTEN,HETE5,Urticaceae,forb,native,n,Jepson eflora,Fruit: ovate.,achene,,,,PD,genus
